t_ms,ax,ay,az,norm,dnorm,energy,impact
672.522,0.07983,-0.99341,-0.24268,1.02573,0.00052,0.00049,0
674.284,0.07300,-0.99463,-0.24365,1.02664,0.00090,0.00047,0
676.003,0.07910,-0.99536,-0.24878,1.02902,0.00239,0.00037,0
677.654,0.07788,-0.99268,-0.23755,1.02367,0.00536,0.00039,0
679.457,0.08130,-0.99805,-0.25342,1.03292,0.00925,0.00047,0
681.161,0.07910,-0.99390,-0.23901,1.02529,0.00763,0.00051,0
682.924,0.08105,-0.99585,-0.24365,1.02842,0.00313,0.00052,0
684.575,0.07910,-0.99829,-0.23877,1.02949,0.00107,0.00048,0
686.414,0.07422,-0.99341,-0.23633,1.02383,0.00567,0.00049,0
688.001,0.08472,-1.00464,-0.24121,1.03666,0.01283,0.00064,0
689.540,0.08228,-1.00244,-0.24365,1.03490,0.00175,0.00061,0
691.087,0.07642,-0.99487,-0.23779,1.02575,0.00916,0.00068,0
692.647,0.07617,-0.99927,-0.23828,1.03010,0.00436,0.00070,0
694.232,0.07910,-0.99512,-0.23682,1.02596,0.00414,0.00072,0
695.767,0.08350,-0.99585,-0.23706,1.02708,0.00111,0.00072,0
697.349,0.08472,-0.99463,-0.24316,1.02742,0.00034,0.00072,0
698.891,0.08179,-1.00024,-0.24048,1.03199,0.00457,0.00064,0
700.462,0.08081,-0.99902,-0.24536,1.03188,0.00011,0.00063,0
701.990,0.07959,-0.99463,-0.23779,1.02575,0.00613,0.00060,0
703.770,0.07837,-0.99121,-0.23853,1.02251,0.00324,0.00061,0
705.526,0.08252,-0.99438,-0.24023,1.02632,0.00380,0.00062,0
707.219,0.07788,-0.99756,-0.22803,1.02625,0.00007,0.00062,0
708.947,0.07886,-0.99585,-0.24048,1.02750,0.00126,0.00062,0
710.680,0.07617,-0.99951,-0.24072,1.03091,0.00340,0.00061,0
712.505,0.08105,-0.99609,-0.24390,1.02872,0.00219,0.00061,0
714.229,0.08008,-0.99829,-0.23828,1.02945,0.00074,0.00061,0
716.019,0.08252,-0.99243,-0.23657,1.02357,0.00588,0.00065,0
717.777,0.08105,-0.99121,-0.23633,1.02221,0.00136,0.00064,0
719.386,0.08130,-0.99585,-0.23755,1.02701,0.00480,0.00064,0
720.939,0.08130,-0.99365,-0.24536,1.02672,0.00029,0.00055,0
722.492,0.07910,-0.99658,-0.24194,1.02858,0.00186,0.00050,0
724.043,0.08618,-0.99438,-0.23657,1.02577,0.00281,0.00050,0
725.617,0.08447,-0.99268,-0.24341,1.02557,0.00020,0.00049,0
727.152,0.08057,-0.99658,-0.24829,1.03020,0.00463,0.00048,0
728.675,0.07983,-1.00024,-0.23511,1.03060,0.00040,0.00032,0
730.218,0.08618,-1.00244,-0.23608,1.03347,0.00287,0.00032,0
731.751,0.08154,-0.99780,-0.24756,1.03128,0.00218,0.00025,0
733.318,0.08154,-0.99072,-0.24268,1.02327,0.00802,0.00029,0
735.018,0.07739,-0.99463,-0.23364,1.02463,0.00136,0.00028,0
736.802,0.08130,-0.99512,-0.23853,1.02653,0.00190,0.00028,0
738.535,0.08008,-0.99390,-0.24487,1.02675,0.00022,0.00028,0
740.243,0.07935,-0.99658,-0.23804,1.02768,0.00094,0.00026,0
741.884,0.08203,-0.99585,-0.24390,1.02856,0.00087,0.00026,0
743.622,0.07886,-0.99731,-0.23535,1.02774,0.00082,0.00022,0
745.233,0.08105,-0.99683,-0.24902,1.03065,0.00291,0.00022,0
746.785,0.08228,-0.99463,-0.24438,1.02751,0.00314,0.00021,0
748.331,0.08423,-0.99854,-0.24121,1.03070,0.00319,0.00022,0
749.869,0.08008,-0.99878,-0.23804,1.02987,0.00083,0.00022,0
751.561,0.08081,-0.99585,-0.23047,1.02536,0.00451,0.00023,0
753.109,0.07959,-0.99609,-0.24121,1.02797,0.00261,0.00023,0
754.711,0.07886,-1.00073,-0.24878,1.03420,0.00623,0.00027,0
756.287,0.08252,-1.00269,-0.24316,1.03504,0.00084,0.00024,0
757.853,0.07837,-0.99976,-0.24780,1.03299,0.00206,0.00024,0
759.439,0.08130,-0.99634,-0.23804,1.02760,0.00539,0.00025,0
761.205,0.07935,-0.99487,-0.24097,1.02671,0.00089,0.00025,0
763.014,0.07837,-1.00049,-0.24414,1.03282,0.00611,0.00028,0
764.730,0.08423,-0.99902,-0.24194,1.03135,0.00147,0.00028,0
766.567,0.08252,-0.99805,-0.23682,1.02907,0.00228,0.00028,0
768.286,0.07739,-0.99731,-0.23999,1.02870,0.00037,0.00026,0
770.061,0.07739,-1.00171,-0.23779,1.03245,0.00375,0.00027,0
771.963,0.08447,-0.99487,-0.24316,1.02764,0.00481,0.00029,0
773.605,0.08008,-0.99731,-0.24585,1.03029,0.00265,0.00029,0
775.162,0.07983,-0.99170,-0.25024,1.02590,0.00439,0.00025,0
776.749,0.07739,-0.99561,-0.23779,1.02653,0.00063,0.00024,0
778.329,0.08105,-0.99438,-0.23853,1.02580,0.00073,0.00024,0
779.867,0.08032,-0.99463,-0.23462,1.02508,0.00072,0.00024,0
781.388,0.07495,-0.99341,-0.24023,1.02479,0.00029,0.00024,0
782.982,0.07520,-0.99561,-0.24243,1.02745,0.00266,0.00025,0
784.523,0.07861,-1.00049,-0.23486,1.03069,0.00324,0.00026,0
786.082,0.07837,-0.99780,-0.23462,1.02801,0.00268,0.00026,0
787.651,0.07642,-0.99658,-0.23975,1.02786,0.00015,0.00025,0
789.181,0.07666,-0.99976,-0.24463,1.03210,0.00424,0.00025,0
790.921,0.08569,-0.99463,-0.24219,1.02727,0.00483,0.00028,0
